slot,n_pax,mean_wait,p95_wait,p95_wait_mc_halfwidth,airport,date,plan
27,812.1666666666666,0.0012432904494751754,0.00669002491736988,0.011718768108438677,BNA,2026-06-11,peak_everywhere
28,825.2,0.0010387647239538918,0.0032501925851264888,0.004267201970039941,BNA,2026-06-11,peak_everywhere
29,830.7,0.0025983496517360954,0.014890655770453396,0.021530443077740116,BNA,2026-06-11,peak_everywhere
30,760.3666666666667,0.00027242430831364366,0.0,0.0,BNA,2026-06-11,peak_everywhere
31,637.3,2.3960904728314267e-05,0.0,0.0,BNA,2026-06-11,peak_everywhere
32,530.8,1.1207787253221225e-06,0.0,0.0,BNA,2026-06-11,peak_everywhere
33,394.1666666666667,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
34,296.3666666666667,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
35,310.43333333333334,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
36,328.1,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
37,255.96666666666667,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
38,100.73333333333333,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
39,2.3,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
40,0.0,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
41,0.0,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
42,0.0,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
43,0.0,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
44,0.0,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
45,1.9,0.0,0.0,0.0,BNA,2026-06-11,peak_everywhere
0,412.06666666666666,0.017297972387591117,0.1195343623542173,0.041712550800365754,BNA,2026-06-12,optimised
1,666.6,0.50095246754296,1.4542175865479205,0.3541281615130396,BNA,2026-06-12,optimised
2,898.9666666666667,0.3276728288383524,1.0541303705109368,0.28668153609751323,BNA,2026-06-12,optimised
3,1001.7666666666667,0.6508628102156443,1.427716320605741,0.26097021277057736,BNA,2026-06-12,optimised
4,1137.1666666666667,0.10263444865398386,0.4863830699428834,0.14408469697377882,BNA,2026-06-12,optimised
5,1294.7333333333333,0.4034114304296466,1.0035670997464858,0.22557404079928436,BNA,2026-06-12,optimised
6,1325.5,0.679816386380533,1.3129474789460387,0.30507112567165634,BNA,2026-06-12,optimised
7,1237.8666666666666,0.4289969675379626,1.0066300572104783,0.22068294233507008,BNA,2026-06-12,optimised
8,1130.2666666666667,0.5958159344055244,1.2246321767049877,0.2713644054888085,BNA,2026-06-12,optimised
9,962.0666666666667,0.15221133878707122,0.5854653040667646,0.20816532846198643,BNA,2026-06-12,optimised
10,1037.1333333333334,0.037488820148728695,0.21742233702163602,0.05151632957029474,BNA,2026-06-12,optimised
11,1204.8,0.3517384798282153,0.9285024363749185,0.22243309422940769,BNA,2026-06-12,optimised
